core,depth,upper_age,lower_age,Aulacoseira italica,A.d.cf.laev,Aulacoseira ambigua,Aulacoseira herzogii,A.g.var.angu,A.granul,Discostella stelligera,Cyclotella meneghiniana,Cocconeis placentula,Cymbella 308,Cymbella minor,Cymbella minuta,C.silesiaca,C.gracilis,Eunotia monodon,Eunotia naeglii,Eunotia flexuosa,Eunotia formica,Eunotia minor,Eu.soleirolii,Eu.bilun.var.bi,Eunotia sudetica?,Eunotia flexuosa,Eunotia serra,Eunotia intermedia,Epithemia turgida,E.sorex,E.adnata,Epithemia spp,Diploenis ovalis,Pseudostaurosira elliptica,Pseudostaurosira zeilleri,Pseudostaurosira trainorii,Pseudostaurosirella sp (como pinnata pero mas larga),Staurosira construens,Frag contruens var venter,Staurosirella pinnata,St construens var exigua,Pseudostaurosira brevistriata,Pseudostaurosirella parasitica,Staurosira construens (deformed),Staurosirella cf berolinensis,St leptostauron,St parasitica,P. mimetica,St rhomboides,Stauroneis phoenicenteron,Fragilaria tenera,Tabellaria flocculosa,Gomphosphenia lingulatiformis,Gomphosphenia sp,Gomph gracile,Gomphonema parvulum,Gomphonema aff mexicanum,G.truncatum,G.angustum,Brachysira brebisonii,B.vitrea,Frustulia rhomboides,Craticula riparia,Navicula cryptotenella,Navicula radiosa,Mayamaea sp,N.pseudov,Neidium iridis,Nitzschia amphibia,Nitzschia palea,Orthoseira dendroteres,Orthoseira roeseana,Luticula mutica,Pinnularia borealis,Pinnularia gibba,Pinnularia spp,Pinnularia acrosphaeria,Pinnularia (lg),Pinnularia viridis,P. abaujensis v linearis,Pinnularia maior,Pinnularia brevicostata ?,Achnanthes minutissima,Amphora ovalis,Amphora veneta,Achnanthes lanceolata,Achnanthes spp,Lemnicola hungarica,Navicula spp,Rhopalodia gibba,Gyrosigma acuminatum,Sellaphora alastos
M1,80,525,548,0,0,279,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,90,548,560,0,0,331,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,100,560,NA,0,0,272,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,10,NA,NA,0,0,52,0,2,1,435,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,20,NA,NA,0,5,42,0,16,2,441,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,29,NA,NA,0,0,152,0,39,9,264,2,0,0,0,0,10,2,0,0,5,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,39,NA,432,0,1,150,0,36,13,146,0,0,0,0,0,20,15,0,0,7,0,0,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,42,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,60,432,862,0,0,14,0,11,5,376,0,0,0,0,0,2,0,0,0,15,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,79,862,1087,0,2,20,0,0,11,316,98,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F7,89,1087,1310,0,29,81,0,0,0,346,0,0,0,0,0,1,6,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,99,1310,1780,0,343,4,0,1,0,82,0,0,0,3,0,6,13,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,4,141,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,120,1780,2690,0,548,1,0,2,0,38,0,0,0,0,0,1,6,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,46,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,160,2690,3090,0,14,73,0,6,5,163,0,0,0,0,0,6,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,86,0,226,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,178,3090,3310,0,10,26,0,12,1,159,0,0,0,0,0,21,22,0,0,5,0,0,22,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,13,21,0,229,0,0,0,0,0,0,0,0,0,6,0,0,17,0,0,0,5,28,3,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,188,3310,4640,0,8,6,0,5,0,272,0,0,0,2,0,15,17,0,0,2,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,65,0,0,0,0,0,0,0,0,0,7,0,0,24,0,0,0,0,50,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,248,4640,4910,0,0,46,0,9,0,443,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,260,4910,5135,0,3,25,0,2,8,380,0,0,0,0,0,18,4,0,0,1,0,0,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,6,15,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,11,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,270,5135,6045,0,0,109,0,0,18,151,0,0,0,18,0,16,11,0,0,0,0,0,11,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,53,11,0,35,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,19,7,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
