"","depth","upper_age","lower_age","Pinnularia borealis","Nitzschia palea","Gomphosphenia sp","Aulacoseira italica","Eunotia cf sudetica","Pinnularia aff breviscostata","Pinnularia acrosphaeria","Gomphonema parvulum","Eunotia intermedia","Pinnularia abaujensis var linearis","Gomphonema aff mexicanum","Stauroneis phoenicenteron","Achnanthes lanceolata","Pinnularia viridis","Luticula mutica","Eunotia formica","Encyonema minutum","Orthoseira roeseana","Neidium iridis","Frustulia rhomboides","Brachysira vitrea","Eunotia naeglii","Aulacoseira granulata var. angustissima","Eunotia serra","Gomphonema truncatum","Eunotia monodon","Eunotia bilunaris","Aulacoseira granulata","Pinnularia maior","Tabellaria flocculosa","Rhopalodia gibba","Achnanthidium minutissimum","Gomphonema gracile","Navicula spp","Cymbella gracilis","Eunotia flexuosa","Fragilaria tenera","Navicula radiosa","Pinnularia spp","Pinnularia gibba","Craticula riparia","Navicula cryptotenella","Amphora ovalis","Eunotia soleirolii","Cymbella silesiacum","Gomphonema angustum","Mayamaea sp","Nitzschia amphibia","Gomphosphenia lingulatiformis","Cyclotella meneghiniana","Brachysira brebisonii","Cocconeis placentula","Cymbella minor","Epithemia turgida","Eunotia minor","Aulacoseira cf laevis","Discostella stelligera","Aulacoseira ambigua","Small Fragilarioids"
"41",1149,69812.1,72835.85,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,2,0,12,0,0,0,31,0,0,92,0,110,7,0,0,10,112
"42",1219,72835.85,74995.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,2,0,1,0,2,0,0,29,0,0,0,20,0,0,57,6,52,0,0,0,1,142
"43",1269,74995.68,78019.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,9,0,0,15,0,0,0,14,0,0,12,0,30,0,0,0,1,177
"44",1339,78019.44,80179.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,12,0,4,187
"45",1389,80179.27,85561.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,6,179
"46",1509,85561.29,88722.58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,3,0,0,0,3,0,0,0,0,0,6,8,0,0,0,10,5,6,0,0,10,0,0,41,0,0,0,65,0,0,7,0,0,100,0,0,40,33
"47",1579,88722.58,104832.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,156
"48",1939,104832.62,106978.54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,4,0,0,0,2,0,0,2,11,2,12,0,0,10,133
"49",1989,106978.54,109982.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,11,0,1,259
"50",2059,109982.83,120283.26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,5,0,13,0,0,0,0,0,4,0,11,10,0,52,259
