Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Chile;Quebrada Mani;-21,055629;-69,335666;13920;40;UCIAMS 89016;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;14155;35;UCIAMS 84738;plant;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Minillas;-33,588882;-71,316944;4540;25;UGAMS 10061;soil;Mendez et al 2015;Mendez, C., Gil, A., Neme, G., Delaunay, A. N., Cortegoso, V., Huidobro, C. Duran, V., & Maldonado, A. (2015). Mid Holocene radiocarbon ages in the Subtropical Andres (~29-35 S), climatic change and implications for human space organization. Quaternary International, 356, 15-26.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;4200;40;Beta 202253;charcoal;Jackson et al 2007;Jackson, D., Mendez, C., Seguel, R., Maldonando, A., & Vargas, G. (2007). Initial occupation of the Pacific coast of Chile during late Pleistocene people of the Andes. Current Anthropology, 48, 725-731.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;7830;40;Beta 204523;soil;Maldonado et al 2010;Maldonado, A., Mendez, C., Ugalde, P., Jackson, D., Seguel, R., & Latorre, C. (2010). Early Holocene climate change and human occupation along the semiarid coast of north-central Chile. Journal of Quaternary Science, DOI: 10.1002/jqs.1385.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;9640;50;Beta 204524;peat;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;10120;50;Beta 196068;peat;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;10920;80;Beta 194725;charcoal;Jackson et al 2007;Jackson, D., Mendez, C., Seguel, R., Maldonando, A., & Vargas, G. (2007). Initial occupation of the Pacific coast of Chile during late Pleistocene people of the Andes. Current Anthropology, 48, 725-731.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;11060;80;Beta 215090;wood;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quebrada Santa Julia;-31,4833;-71,23;11090;80;Beta 215089;charcoal;Jackson et al 2007;Jackson, D., Mendez, C., Seguel, R., Maldonando, A., & Vargas, G. (2007). Initial occupation of the Pacific coast of Chile during late Pleistocene people of the Andes. Current Anthropology, 48, 725-731.;
Chile;Quereo Norte;-31,935898;-71,507092;2210;50;NSRL-11083;charcoal;Jackson et al 2001;Jackson, D., Artigas, D., & Cabello, G. (2001). Nuevas manifestaciones de petroglifos en la precordillera del Choapa: tecnicas, motivos, y significado. Boletin de la Sociedad Chilena de Arqueologia, 32, 43-49.;
Chile;Quereo Norte;-31,935898;-71,507092;2290;50;Beta-105213;shell;Jackson & Rodriguez 2008;Jackson, D., & Rodriguez, A. (1998). Ocupacion del complejo El Molle en la costa de Los Vilos, Provincia de Choapa. Boletin de la Sociedad Chilena de Arqueologia, 26, 19-21.;
Chile;Quereo Norte;-31,935898;-71,507092;6030;80;unknown;shell;Jackson et al 1996;Jackson, D., Sequel, R., Baez, P., & Prieto, X. (1996). Asentaminetos y evidencias culturales del complejo Huentelaquen en la comuna de Los Villos. Informe proyecto Fondecyt 1950372.;
Chile;Quereo Perfil;-31,929444;-71,509444;2420;100;N-2961;charcoal;Nunez et al 1994;Nunez, L., Varela, J., Casamiquela, R., Schiappacasse, V., Niemeyer, H., & Villagran, C. (1994). Cuenca de Tagua-Tagua en Chile: el ambiente del Pleistoceno y ocupaciones humanas. Revista Chilena de Historia Natural, 67, 503-519. ;
Chile;Quereo Perfil;-31,929444;-71,509444;2475;60;SI-3390;charcoal;Nunez et al 1994;Nunez, L., Varela, J., Casamiquela, R., Schiappacasse, V., Niemeyer, H., & Villagran, C. (1994). Cuenca de Tagua-Tagua en Chile: el ambiente del Pleistoceno y ocupaciones humanas. Revista Chilena de Historia Natural, 67, 503-519. ;
Chile;Quereo Perfil;-31,929444;-71,509444;9100;300;GaK-2984;bone;Paskoff 1971;Paskoff, R. (1971). Edad radiometrica del mastodonte de Los Vilos: 9.100 +/- 300 anos A.P. Noticiario Mensual del Museo Nacional de Historia Natural, 15(177), 1.;
Chile;Quereo Perfil;-31,929444;-71,509444;9370;180;N-2484;soil;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quereo Perfil;-31,929444;-71,509444;10925;85;SI-3391;charcoal;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quereo Perfil;-31,929444;-71,509444;11100;150;N-2962;wood;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quereo Perfil;-31,929444;-71,509444;11400;155;N-2964;charcoal;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quereo Perfil;-31,929444;-71,509444;11400;145;N-2966;wood;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quereo Perfil;-31,929444;-71,509444;11600;190;N-2965;wood;Faught 2008;Faught, M. K. (2008). Archaeological roots of human diversity in the new world: a compilation of accurate and precise radiocarbon ages from earliest sites. American Antiquity, 73, 670-698.;
Chile;Quevilque;-33,123036;-71,474551;4000;50;Beta-24355;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 1;-18,362548;-70,234893;5630;145;I-1349;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 1;-18,362548;-70,234893;6170;220;I-1348;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 7;-18,362548;-70,234893;3240;90;I-13655;soft tissue;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 7;-18,362548;-70,234893;3280;90;I-13654;soft tissue;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 7;-18,362548;-70,234893;3590;100;GaK-5814;wood;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 9;-18,362548;-70,234893;5250;430;Gak-8781;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 9;-18,362548;-70,234893;6115;280;I-11643;unknown;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Quiani 9;-18,362548;-70,234893;6370;540;GaK-8782;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2030;30;Beta-314511;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2040;50;To-3573;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2060;60;TO-4810;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2130;30;Beta-314512;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2210;55;GX-21725;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
