"age (kyr BP)","mat","pann","ai"
200.89010989011,12.7147147147147,1468.86886886887,1.12222222222222
200.934065934066,11.6906906906907,1312.31231231231,1.07407407407407
200.978021978022,11.8888888888889,1344.54454454455,1.07592592592593
201.021978021978,11.9219219219219,1257.05705705706,1.03888888888889
201.065934065934,11.2282282282282,1261.66166166166,1.06111111111111
201.10989010989,11.2282282282282,1261.66166166166,1.05
201.153846153846,10.963963963964,1266.26626626627,1.04444444444444
201.197802197802,12.5495495495495,1358.35835835836,1.07592592592593
201.241758241758,11.5585585585586,1201.8018018018,1.02962962962963
201.285714285714,13.2102102102102,1390.59059059059,1.08148148148148
201.32967032967,12.1531531531532,1247.84784784785,1.03333333333333
201.373626373626,11.6906906906907,1280.08008008008,1.04444444444444
201.417582417582,10.8648648648649,1211.01101101101,1.04074074074074
201.461538461538,10.996996996997,1280.08008008008,1.07222222222222
201.505494505495,11.9219219219219,1312.31231231231,1.06481481481481
201.549450549451,10.3033033033033,1197.1971971972,1.03333333333333
201.593406593407,11.4594594594595,1330.73073073073,1.07222222222222
201.637362637363,11.6576576576577,1280.08008008008,1.0537037037037
201.681318681319,10.5015015015015,1201.8018018018,1.04074074074074
201.725274725275,11.3273273273273,1261.66166166166,1.0537037037037
201.769230769231,11.4264264264264,1257.05705705706,1.03888888888889
201.813186813187,11.4594594594595,1215.61561561562,1.03518518518519
201.857142857143,11.5915915915916,1252.45245245245,1.03703703703704
201.901098901099,12.021021021021,1330.73073073073,1.06851851851852
201.945054945055,11.954954954955,1316.91691691692,1.06851851851852
201.989010989011,11.3933933933934,1206.40640640641,1.02592592592593
202.516483516484,15.2582582582583,1777.37737737738,1.19259259259259
202.648351648352,14.1681681681682,1607.00700700701,1.1537037037037
202.824175824176,14.0690690690691,1634.63463463464,1.16296296296296
203,14.5315315315315,1666.86686686687,1.16111111111111
203.177777777778,14.3333333333333,1680.68068068068,1.17222222222222
203.355555555556,13.3423423423423,1542.54254254254,1.20740740740741
203.488888888889,11.8228228228228,1261.66166166166,1.02777777777778
203.533333333333,13.3093093093093,1533.33333333333,1.15740740740741
203.888888888889,15.1921921921922,1906.30630630631,1.22777777777778
203.977777777778,15.1591591591592,1929.32932932933,1.22962962962963
204.066666666667,14.0690690690691,1597.7977977978,1.17592592592593
204.111111111111,12.4174174174174,1381.38138138138,1.08148148148148
204.155555555556,14.4324324324324,1699.0990990991,1.16481481481481
204.2,14.8948948948949,1735.93593593594,1.16481481481481
204.244444444444,14.1021021021021,1625.42542542543,1.16111111111111
204.288888888889,13.5735735735736,1519.51951951952,1.13518518518519
204.333333333333,14.4654654654655,1607.00700700701,1.1462962962963
204.377777777778,14.2012012012012,1689.88988988989,1.16296296296296
204.422222222222,14.4984984984985,1772.77277277277,1.19074074074074
204.466666666667,14.3663663663664,1666.86686686687,1.16481481481481
204.511111111111,14.960960960961,1676.07607607608,1.1537037037037
204.555555555556,14.7957957957958,1726.72672672673,1.17407407407407
204.6,14.960960960961,1781.98198198198,1.17777777777778
204.644444444444,15.0600600600601,1662.26226226226,1.15740740740741
204.688888888889,14.6636636636637,1712.91291291291,1.16666666666667
204.733333333333,14.8948948948949,1699.0990990991,1.16481481481481
204.777777777778,14.7957957957958,1735.93593593594,1.17962962962963
204.822222222222,14.8948948948949,1689.88988988989,1.17222222222222
204.866666666667,14.4984984984985,1671.47147147147,1.17962962962963
204.911111111111,13.5075075075075,1593.19319319319,1.18518518518519
205.044444444444,13.4744744744745,1560.96096096096,1.17962962962963
