Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Cerro El Sombrero A1;Pampas;-37,817;-58,56;10725;90;AA-4765;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Cerro La China 1;Pampas;-37,95;-58,616667;10720;150;I-12741;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Pintoscayoc 1;S. Andes;-22,9444;-65,4182;10720;150;LP-503;charcoal;Hernandez Llosas, M. I. (2001). Tres momentos, tres contextos, un lugar: variaciones temporales y contextuales en el arte rupestre de La Quebrada De Humahuaca. Jujuy: Argentina. Boletin del Museo Chileno de Arte Precolumbiano, 8, 59-82.;;;;;;;;;;;;;;;;;;
Cerro Casa de Piedra 7;Pat ;-47,883333;-72,083333;10690;72;UGA-873;bone;Aschero, C., Bozzuto, D., Civalero, T., De Nigris, M., Di Vruno, A., Dolce, V., Fernández, N., González, L., Sacchi, M., 2007. Nuevas evidencias sobre las ocupaciones tempranas en Cerro Casa de Piedra 7. In: Morello, F., Martinic, M., Prieto, A., Bahamonde, G. (Eds.), Arqueología de Fuego-Patagonia. Levantando piedras, desenterrando huesos y develando arcanos. CEQUA, Punta Arenas, pp. 569-576.;;;;;;;;;;;;;;;;;;
Cerro El Sombrero A1;Pampas;-37,817;-58,56;10675;110;AA-4767;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10675;55;OxA-15870;bone;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
Cueva Burucuyá;Pampas;-37,959167;-58,123333;10672;56;AA-94640;charcoal;Mazzanti, D. L., Martinez, G., Quintana C. (2012). Early settlements in Eastern Tandilia, Buenos Aires Province, Argentina: archaeological contexts and site-formation processes. In: Late Pleistocene peopling of Latin America. (Eds. Miotti, L., Salemme, M., Flegenheimer, N., Goebel, T.). Special Edition, Southbound current research in the Pleistocene. Texas University.;;;;;;;;;;;;;;;;;;
La Gruta 1;Pat ;-48,8261;-69,3961;10656;54;AA-76792;charcoal;Brook, G. A., Mancini, M. V., Franco, N. V., Bamonte, F., Ambrustolo, P. (2013). An examination of possible relationships between paleoenvironmental conditions during the Pleistocene-Holocene transition and human occupation of southern Patagonia (Argentina) east of the Andes, between 46 and 52 S. Quaternary International, 305, 104-118.;;;;;;;;;;;;;;;;;;
El Trébol;Pat ;-41,0733;-71,4866;10640;120;AA-75679;bone;Lezcano, M. J., Hajduk, A., Albornoz, A. M. (2010). El menu a la carta en el bosque, entrada o plato fuerte? una perspectiva comparada desde la zooarqueologia del sitio El Trebol (lago Nahuel Huapi, Pcia. de Rio Negro). In: Zooarqueologia a principios del siglo XXI: aportes teoricos, metodologicos, y casos de estudio. (Eds. Guiterrez, M. A., De Nigris, M., Fernandez, P. M., Giardina, M., Gil, A. F., Izega, A., Neme, G., Yacobaccio H. D.). Ediciones del Esipinillo, Bunoes Aires. pp243-257.;;;;;;;;;;;;;;;;;;
Inca Cueva 4;S. Andes;-23,7;-65,5;10620;140;LP-137;charcoal;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., Yesner, D. Plenun Press, New York, pp 52-75.;;;;;;;;;;;;;;;;;;
Cerro La China 3;Pampas;-37,95;-58,616667;10610;180;AA-1328;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
El Trébol;Pat ;-41,0733;-71,4866;10600;100;AA-75678;bone;Lezcano, M. J., Hajduk, A., Albornoz, A. M. (2010). El menu a la carta en el bosque, entrada o plato fuerte? una perspectiva comparada desde la zooarqueologia del sitio El Trebol (lago Nahuel Huapi, Pcia. de Rio Negro). In: Zooarqueologia a principios del siglo XXI: aportes teoricos, metodologicos, y casos de estudio. (Eds. Guiterrez, M. A., De Nigris, M., Fernandez, P. M., Giardina, M., Gil, A. F., Izega, A., Neme, G., Yacobaccio H. D.). Ediciones del Esipinillo, Bunoes Aires. pp243-257.;;;;;;;;;;;;;;;;;;
El Trébol;Pat ;-41,0733;-71,4866;10570;130;AA-65707;bone;Zubimendi, M. A., Ambrustolo, P., Zilio, L., Castro, A. (2015). Continuity and discontinuity in the human use of the north coast of Santa Cruz (Patagonia Argentina) through its radiocarbon record. Quaternary International, 356, 127-146.;;;;;;;;;;;;;;;;;;
Cerro La China 2;Pampas;-37,95;-58,616667;10560;75;AA-8956;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Leon Huasi-I;S. Andes;unknown;unknown;10550;300;GAK-13402;charcoal;Aschero, C. A., Podesta, M. (1986). El arte rupestre en asentamientos preceramicos de la Puna Argentina. Runa, 16, 29-57.;;;;;;;;;;;;;;;;;;
