Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10590;90;GrN-6505;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10460;130;GrN-6731;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
La Palestina 2;N. Andes;6,716;-74,383;10400;90;Beta-40855;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
Nare;N. Andes;6,35;-74,33;10400;40;Beta-146798;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
Nare;N. Andes;6,35;-74,33;10400;60;Beta-70040;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
La Mikela;N. Andes;4,781956;-75,68447;10376;70;AA-98939;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
Nare;N. Andes;6,35;-74,33;10350;60;Beta-70040;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
San Juan de Bedout;N. Andes;6,5;-74,5;10350;80;Beta-40852;charcoal;López, C. (1989). Evidencias paleoindias en el valle medio del rio Magdalena (Municipios de Puerto Berrio, Yondo y Remedios, Antioquita). Boletin de Arqueologia, 4, 3-23.;;;;;;;;;;;;;;;;;;
La Palestina 2;N. Andes;6,716;-74,383;10300;70;Beta-123566;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
La Palestina 2;N. Andes;6,716;-74,383;10260;70;Beta-123566;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
PIII01-52;N. Andes;7,458586;-75,62117;10260;50;Beta-205293;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
La Palestina 2;N. Andes;6,716;-74,383;10230;90;Beta-40854;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10150;150;GrN-7114;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10140;100;GrN-7113;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
El Guatin;N. Andes;5,00384;-75,553123;10130;50;Beta-325213;charcoal;Delgado, M., Aceituno, F. J., Barrientos, G. (2015) 14C data and the early colonization of Northwest South America: a critical assessment. Quaternarey International, 363, 55-64.;;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10130;150;GrN-6732;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
El Jazmin;N. Andes;5,8;-75,5;10120;70;Ua-24497 ;charcoal;Aceituno, F.J., Loaiza, N. (2007). Domesticación del Bosque en el Cauca MedioColombiano entre el Pleistoceno Final y el Holoceno Medio. British Archaeological Reports, International Series 1654. Archaeopress, Oxford.;;;;;;;;;;;;;;;;;;
La Morena;N. Andes;7,5;-75,5;10090;60;Beta-245566;charcoal;Santos, G. (2010). Diez mil anos de ocupaciones humanas en envigado antioquia. El Sitio La Morena. Alcadia de Envigado, Envigado.;;;;;;;;;;;;;;;;;;
Sueva I;N. Andes;4,8;-73,716;10090;90;GrN-8111;charcoal;Correal, U. G., Ardila, G. (1979). Investigaciones arqueologicas en Abrigos Rocosos de Nemocon y Sueva. Fundacion de Investigaciones Arqueologicas Nacionales, Banco de la Republica (Bogota).;;;;;;;;;;;;;;;;;;
San Isidro;N. Andes;3,427316;-75,93744;10050;100;Beta-65878;charcoal;Gnecco, C. (2003). Against ecological reductionism: Late Pleistocene hunter-gatherers in the tropical forests northern South America. Quaternary International, 109, 13-21.;;;;;;;;;;;;;;;;;;
San Isidro;N. Andes;3,427316;-75,93744;10030;60;Beta-93275;charcoal;Gnecco, C. (2003). Against ecological reductionism: Late Pleistocene hunter-gatherers in the tropical forests northern South America. Quaternary International, 109, 13-21.;;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10025;95;GrN-6210;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;10025;95;GrN-6210;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;9990;100;GrN-6730;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Cuba (66PER001);N. Andes;5,197776;-75,676397;9826;63;AA-102496;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
La Palestina 1;N. Andes;6,623153;-74,318359;9820;115;LP91;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
El Jordan;N. Andes;3,924397;-75,45907;9760;160;Beta-116764;charcoal;Salgado, H. 1998. Exploraciones arqueologicas en la Cordillera Central roncesvalles-tolima. Fundacion de investigaciones arqueologicas nacionales, banco de la republica, Bogota. UNiversidad del Tolima, Fondo MIxto de cultura de Tolima. Bogota.;;;;;;;;;;;;;;;;;;
Tequendama I;N. Andes;4,583;-74,216;9740;135;GrN-7115;charcoal;"Correal, U. G., van der Hammen, T. (1977). Investigaciones arqueologicas en los abrigos roscos del Tequendama; 12000 anos de historia del hombre y su medio ambiente en la antiplanicie de Bogota. In Biblioteca Banco Popular, Premios de Arqueologia, Vol. 1. Bogota.";;;;;;;;;;;;;;;;;;
Cuba (66PER001);N. Andes;5,197776;-75,676397;9730;100;Beta-121972;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
La Morena;N. Andes;7,5;-75,5;9680;60;Beta-245564 ;charcoal;Santos, G. (2010). Diez mil anos de ocupaciones humanas en envigado antioquia. El Sitio La Morena. Alcadia de Envigado, Envigado.;;;;;;;;;;;;;;;;;;
Salento 24;N. Andes;5,140896;-75,299602;9680;100;Beta-146613;charcoal;Tabares, D. Rojas, E. (2000). Aportes para una historia en construccion: arqueologia de rescate en la doble calzada Manizales-Pereira-Armenia. INVIAS-CISAN, Bogota.;;;;;;;;;;;;;;;;;;
Sauzalito;N. Andes;3,934182;-76,671563;9670;150;Beta-23476;charcoal;Bray, W. (1989). Ceramica Buga: reevaluacion. Boletin Museo del Oro, 24, 102-119.;;;;;;;;;;;;;;;;;;
El Mirador;N. Andes;5,856537;-75,857593;9663;83;AA-102509;charcoal;Herrera, L., Moreno, M. C., Pena, O. (2011). La historia muy antigua del municipio de Palestina (Caldas). Proyecto de rescate y monitoreo arqueologico del aeropuerto del cafe centro de museos, Universidad de Caldas, associacion aeropuerto el cafe, Manizales, Colombia.;;;;;;;;;;;;;;;;;;
Sauzalito;N. Andes;3,934182;-76,671563;9600;100;Beta-23475 ;charcoal;Bray, W. (1989). Ceramica Buga: reevaluacion. Boletin Museo del Oro, 24, 102-119.;;;;;;;;;;;;;;;;;;
La Trinidad Corte II;N. Andes;5,040082;-75,57681;9542;50;CEDAD LTL 4267A;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
San Isidro;N. Andes;3,427316;-75,93744;9530;100;Beta-65877;charcoal;Gnecco, C. (2003). Against ecological reductionism: Late Pleistocene hunter-gatherers in the tropical forests northern South America. Quaternary International, 109, 13-21.;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;9490;110;Beta-87188;charcoal;Rodriguez, C. A. (2002). El Valle del Cauca Prehispanico: procesos socioculturales antiguos en las regiones geohistoricas del alto y medio cauca y la costa Pacifica Colombo-Ecuatoriana. Departamento de Historia, facultad de humanidades, Universidad del Valle, Santiago de Cali.;;;;;;;;;;;;;;;;;;
Invias 3;N. Andes;4,980265;-74,850318;9451;58;AA-98951;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
Gachalá;N. Andes;4,7019;-73,521;9360;45;GrN-8448;charcoal;Correal, U. G., Ardila, G. (1979). Investigaciones arqueologicas en Abrigos Rocosos de Nemocon y Sueva. Fundacion de Investigaciones Arqueologicas Nacionales, Banco de la Republica (Bogota).;;;;;;;;;;;;;;;;;;
El Abra II;N. Andes;5;-73,966;9340;40;GrN-5661;charcoal;Hurt, W. (1977). The edge-trimmed tool tradition of Northwest South America. In: For the Director. Research essays in honor of James B. Griffin, Anthropology Papers, 61, Musuem of Anthropology, University of Michigan, Ann Arbor, pp 268-294.;;;;;;;;;;;;;;;;;;
La Trinidad Corte II;N. Andes;5,040082;-75,57681;9333;65;CEDAD LTL 4845A;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
El Abra II;N. Andes;5;-73,966;9325;100;GrN-5746;charcoal;Hurt, W. (1977). The edge-trimmed tool tradition of Northwest South America. In: For the Director. Research essays in honor of James B. Griffin, Anthropology Papers, 61, Musuem of Anthropology, University of Michigan, Ann Arbor, pp 268-294.;;;;;;;;;;;;;;;;;;
La Pochola;N. Andes;5,51968;-75,247739;9312;55;LTL-4223A;charcoal;Aceituno, F. J., Loaiza, N. (2014). Early and Middle Holocene evidence for plant use and cultivation in the Middle Cauca River Basin, Cordillera Central (Colombia). Quaternary Science Reviews, 86, 49-62.;;;;;;;;;;;;;;;;;;
Sauzalito;N. Andes;3,934182;-76,671563;9300;100;Beta-18441;charcoal;Bray, W. (1989). Ceramica Buga: reevaluacion. Boletin Museo del Oro, 24, 102-119.;;;;;;;;;;;;;;;;;;
UTP Jardin Botánico;N. Andes;4,795295;-75,685347;9284;58;AA-98955;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
Peña Roja;Trop. Lowlands;-0,213066;-72,767468;9250;140;Beta-52964;charcoal;Cavelier, I., Rodriguez, C., Herrera, L., Morcote, G., Mora, S. (1995). No solo de la caza vive el hombre: ocupacion del bosque amazonico, Holoceno temprano. In: Ambito y ocupaciones tempranas de la America Tropical. Eds Cavelier, L., Mora, S. Fundacion Erigaie, Instituto Colombiano de Antropologia, Bogota, pp 27-44.;;;;;;;;;;;;;;;;;;
Genova;N. Andes;4,163667;-75,782196;9230;40;Beta-355217;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
La Montañita;N. Andes;4,798144;-75,678781;9230;50;Beta-355214;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
Peña Roja;Trop. Lowlands;-0,213066;-72,767468;9160;90;Beta-64602;charcoal;Cavelier, I., Rodriguez, C., Herrera, L., Morcote, G., Mora, S. (1995). No solo de la caza vive el hombre: ocupacion del bosque amazonico, Holoceno temprano. In: Ambito y ocupaciones tempranas de la America Tropical. Eds Cavelier, L., Mora, S. Fundacion Erigaie, Instituto Colombiano de Antropologia, Bogota, pp 27-44.;;;;;;;;;;;;;;;;;;
Invias 3;N. Andes;4,980265;-74,850318;9155;57;AA-98950;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
Peña Roja;Trop. Lowlands;-0,213066;-72,767468;9125;55;Beta-52964;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
Sitio 045;N. Andes;6,790298;-75,569532;9120;90;Beta-72375;charcoal;Castillo, N., Aceituno, F. (2006). El bosque domesticado, el bosque cultivado: un proceso milenario en el valle medio del rio Porce en el noroccidente Colombiano. Latin American Antiquity, 17, 561-578.;;;;;;;;;;;;;;;;;;
La Pochola;N. Andes;5,51968;-75,247739;9047;45;LTL5436A;charcoal;Delgado, M., Aceituno, F. J., Barrientos, G. (2015) 14C data and the early colonization of Northwest South America: a critical assessment. Quaternarey International, 363, 55-64.;;;;;;;;;;;;;;;;;;
El Abra II;N. Andes;5;-73,966;9025;90;Beta-5710;charcoal;Hurt, W. (1977). The edge-trimmed tool tradition of Northwest South America. In: For the Director. Research essays in honor of James B. Griffin, Anthropology Papers, 61, Musuem of Anthropology, University of Michigan, Ann Arbor, pp 268-294.;;;;;;;;;;;;;;;;;;
El Jazmin;N. Andes;5,8;-75,5;9020;60;Beta-95061;charcoal;INTEGRAL. (1997). Arqueologia de Rescate: via alterna de la troncal de occidente Reio Campoalegre-Estadio Santa Rosa de Cabal (Informe Final). INTEGRAL S. A., Ministerio de Transporte, Instituto Nacional de VIas, Medellin (Unpublished). ;;;;;;;;;;;;;;;;;;
Sitio 021;N. Andes;5,334989;-75,747475;8990;80;Beta-114687 ;charcoal;Castillo, N., Aceituno, F. (2006). El bosque domesticado, el bosque cultivado: un proceso milenario en el valle medio del rio Porce en el noroccidente Colombiano. Latin American Antiquity, 17, 561-578.;;;;;;;;;;;;;;;;;;
Cu-S2;N. Andes;-3,106;-79,357;8780;30;UGAMS-19143;charcoal;Pagán-Jiménez, J. R., Guachamín-Tello, A. M., Romero-Bastidas, M. E., & Constantine-Castro, A. R. (2016). Late ninth millennium BP use of Zea mays L. at Cubilán area, highland Ecuador, revealed by ancient starches. Quaternary International, 404, 137-155.;;;;;;;;;;;;;;;;;;
Cu-S2;N. Andes;-3,106;-79,357;8760;30;UGAMS-19134;charcoal;Pagán-Jiménez, J. R., Guachamín-Tello, A. M., Romero-Bastidas, M. E., & Constantine-Castro, A. R. (2016). Late ninth millennium BP use of Zea mays L. at Cubilán area, highland Ecuador, revealed by ancient starches. Quaternary International, 404, 137-155.;;;;;;;;;;;;;;;;;;
Cu-S2;N. Andes;-3,106;-79,357;8360;40;Beta-364214;charcoal;Pagán-Jiménez, J. R., Guachamín-Tello, A. M., Romero-Bastidas, M. E., & Constantine-Castro, A. R. (2016). Late ninth millennium BP use of Zea mays L. at Cubilán area, highland Ecuador, revealed by ancient starches. Quaternary International, 404, 137-155.;;;;;;;;;;;;;;;;;;
Cu-S2;N. Andes;-3,106;-79,357;7260;40;Beta-364213;charcoal;Pagán-Jiménez, J. R., Guachamín-Tello, A. M., Romero-Bastidas, M. E., & Constantine-Castro, A. R. (2016). Late ninth millennium BP use of Zea mays L. at Cubilán area, highland Ecuador, revealed by ancient starches. Quaternary International, 404, 137-155.;;;;;;;;;;;;;;;;;;
Cu-S2;N. Andes;-3,106;-79,357;7210;40;Beta-362878;charcoal;Pagán-Jiménez, J. R., Guachamín-Tello, A. M., Romero-Bastidas, M. E., & Constantine-Castro, A. R. (2016). Late ninth millennium BP use of Zea mays L. at Cubilán area, highland Ecuador, revealed by ancient starches. Quaternary International, 404, 137-155.;;;;;;;;;;;;;;;;;;
El Abra II;N. Andes;5;-73,966;8760;350;Beta-2137;charcoal;Hurt, W. (1977). The edge-trimmed tool tradition of Northwest South America. In: For the Director. Research essays in honor of James B. Griffin, Anthropology Papers, 61, Musuem of Anthropology, University of Michigan, Ann Arbor, pp 268-294.;;;;;;;;;;;;;;;;;;
El Recreo;N. Andes;3,923;-76,666;8750;160;Beta-26018 ;charcoal;Herrera, L., Moreno, M. C., Pena, O. (2011). La historia muy antigua del municipio de Palestina (Caldas). Proyecto de rescate y monitoreo arqueologico del aeropuerto del cafe centro de museos, Universidad de Caldas, associacion aeropuerto el cafe, Manizales, Colombia.;;;;;;;;;;;;;;;;;;
Galindo I;N. Andes;5,4185;-73,2678;8740;60;GrN-16346 ;charcoal;Pinto, D. C. (2009). Concha sobre concha: construindo sambaquis e paisagem no Reconcavo da Baia d Guanabara. Dissertacao de Mestrado em Arqueologia. Museu Nacional. Universidade Federal do Rio de Janeiro.;;;;;;;;;;;;;;;;;;
Nuevo Sol;N. Andes;4,462268;-75,788777;8740;50;Beta-306257;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;8712;60;X-23803;charcoal;Aceituno, F. J., Loaiza, N. (2014). Early and Middle Holocene evidence for plant use and cultivation in the Middle Cauca River Basin, Cordillera Central (Colombia). Quaternary Science Reviews, 86, 49-62.;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;8704;56;X-23805;charcoal;Aceituno, F. J., Loaiza, N. (2014). Early and Middle Holocene evidence for plant use and cultivation in the Middle Cauca River Basin, Cordillera Central (Colombia). Quaternary Science Reviews, 86, 49-62.;;;;;;;;;;;;;;;;;;
La Pochola;N. Andes;5,51968;-75,247739;8680;55;Ua-24498 ;charcoal;Aceituno, F.J., Loaiza, N. (2007). Domesticación del Bosque en el Cauca MedioColombiano entre el Pleistoceno Final y el Holoceno Medio. British Archaeological Reports, International Series 1654. Archaeopress, Oxford.;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;8680;60;Ua-244991 ;charcoal;Aceituno, F.J., Loaiza, N. (2007). Domesticación del Bosque en el Cauca MedioColombiano entre el Pleistoceno Final y el Holoceno Medio. British Archaeological Reports, International Series 1654. Archaeopress, Oxford.;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;8674;61;X-23804;charcoal;Aceituno, F. J., Loaiza, N. (2014). Early and Middle Holocene evidence for plant use and cultivation in the Middle Cauca River Basin, Cordillera Central (Colombia). Quaternary Science Reviews, 86, 49-62.;;;;;;;;;;;;;;;;;;
El Jazmin;N. Andes;5,8;-75,5;8660;55;AA-98947;charcoal;Dikau, R., Aceituno, F. J., Loaiza, N., López, C., Cano, M., Herrera, L., Restrepo, C., Ranere, A. J. (2015). Radiocarbon chronology of terminal Pleistocene to middle Holocene human occupation in the Middle Cauca Valley, Colombia. 363, 43-54.;;;;;;;;;;;;;;;;;;
El Recreo Cancha;N. Andes;5,834124;-75,871927;8550;60;Beta-285871;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
El Recreo Cancha;N. Andes;5,834124;-75,871927;8480;40;Beta-290954;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
Peñones de Bogota;N. Andes;6,236423;-73,98145;8480;40;Beta-181064;charcoal;López, C. (2008). Landscape development and the evidence for Early Human occupation in the Inter-andean tropical lowlands of the Magdalena River, Colombia. Syllaba Press, Miami.;;;;;;;;;;;;;;;;;;
Salento 21;N. Andes;5,141402;-75,167458;8430;100;Beta-146609 ;charcoal;Tabares, D. Rojas, E. (2000). Aportes para una historia en construccion: arqueologia de rescate en la doble calzada Manizales-Pereira-Armenia. INVIAS-CISAN, Bogota.;;;;;;;;;;;;;;;;;;
El Antojo;N. Andes;5,40287;-75,365302;8380;90;Beta-93154;charcoal;INTEGRAL. (1997). Arqueologia de Rescate: via alterna de la troncal de occidente Reio Campoalegre-Estadio Santa Rosa de Cabal (Informe Final). INTEGRAL S. A., Ministerio de Transporte, Instituto Nacional de VIas, Medellin (Unpublished). ;;;;;;;;;;;;;;;;;;
Neusa;N. Andes;4,855;-73,9391;8370;90;Beta-21060;charcoal;Rivera, S. (1991). Neusa 9000 anos de presencia humana en el Paramo. Fundacion de Investigaciones Arqueologicos nacionales, Banco de la Republica, Argentina. ;;;;;;;;;;;;;;;;;;
PIII01-59;N. Andes;7,458586;-75,62117;8340;40;Beta-231479;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
Páramo de Peñas Negras;N. Andes;5,337419;-73,817151;8320;80;GrN 12068;charcoal;Herrera, L., Moreno, M. C., Pena, O. (2011). La historia muy antigua del municipio de Palestina (Caldas). Proyecto de rescate y monitoreo arqueologico del aeropuerto del cafe centro de museos, Universidad de Caldas, associacion aeropuerto el cafe, Manizales, Colombia.;;;;;;;;;;;;;;;;;;
Checua;N. Andes;4,646279;-73,745824;8200;110;A-03;charcoal;Groot, A. M. (1992). Checua: una secuencia cultural entre 8500 y 3000 anos antes del presente. Fundacion de investigaciones arqueologicos nacionales. Banco de la Republica, Bogota.;;;;;;;;;;;;;;;;;;
La Chillona;N. Andes;4,5124;-75,3853;8200;40;Beta-325216;charcoal;Restrepo, C. A. (2013). Informe de monitoreo arqueologico en el area de influencia del Proyecto de Desarrollo Vial Armenia Pereira Manizales, Autopista de Cafe. Instituto Nacional de Vias, Autopistas de Cafe S. A., Pereira (Unpublished).;;;;;;;;;;;;;;;;;;
San German II;N. Andes;5,660214;-75,694147;8136;65;CSIC-1987;charcoal;Aceituno, F.J., Loaiza, N. (2007). Domesticación del Bosque en el Cauca MedioColombiano entre el Pleistoceno Final y el Holoceno Medio. British Archaeological Reports, International Series 1654. Archaeopress, Oxford.;;;;;;;;;;;;;;;;;;
La Pochola;N. Andes;5,51968;-75,247739;8095;55;Ua-24499;charcoal;Aceituno, F. J., Loaiza, N. (2014). Early and Middle Holocene evidence for plant use and cultivation in the Middle Cauca River Basin, Cordillera Central (Colombia). Quaternary Science Reviews, 86, 49-62.;;;;;;;;;;;;;;;;;;
Peña Roja;Trop. Lowlands;-0,213066;-72,767468;8090;60;UCR-3419;plant;Piperno, D. R., Pearsalll, 1998. The origns of agriculture in the lowland Neotropics. Academic, San Diego.;;;;;;;;;;;;;;;;;;
El Recreo Cancha;N. Andes;5,834124;-75,871927;8030;80;Beta-283582;charcoal;Aceituno, F. J., Loaiza, N., Delgado-Burbano, M. E., Barrientos, G. (2013). The initial settlement of Northwest South America during the Pleistocene/Holocene transition: synthesis and perspectives. Quaternary International, 301, 23-33.;;;;;;;;;;;;;;;;;;
Guayabito;N. Andes;3,600452;-75,704269;7990;100;Beta-95064;charcoal;INTEGRAL. (1997). Arqueologia de Rescate: via alterna de la troncal de occidente Reio Campoalegre-Estadio Santa Rosa de Cabal (Informe Final). INTEGRAL S. A., Ministerio de Transporte, Instituto Nacional de VIas, Medellin (Unpublished). ;;;;;;;;;;;;;;;;;;
Galindo I;N. Andes;5,4185;-73,2678;7730;60;unknown;charcoal;Correal, U. G., Ardila, G. (1979). Investigaciones arqueologicas en Abrigos Rocosos de Nemocon y Sueva. Fundacion de Investigaciones Arqueologicas Nacionales, Banco de la Republica (Bogota).;;;;;;;;;;;;;;;;;;
La Selva;N. Andes;5,905698;-75,64716;7685;110;Beta-87189;charcoal;INCIVA. (1995-1996). Proyecto de rescate arqueologico, gasoducto de Occidente, Mariquita-Yumbo. Ecopetrol, Bogota. Unpublished manuscript.;;;;;;;;;;;;;;;;;;
