upper_age,lower_age,depth (cm),LOI 375,EM1,EM2,EM3,EM4
37666.66667,37713.61502,414,0.161,0.000,0.599,0.000,0.241
37713.61502,37760.56338,415,0.156,0.000,0.616,0.026,0.201
37760.56338,37807.51174,416,0.162,0.000,0.578,0.046,0.215
37807.51174,37854.46009,417,0.166,0.000,0.595,0.239,0.000
37854.46009,37901.40845,418,0.170,0.000,0.626,0.000,0.204
37901.40845,37948.35681,419,0.172,0.000,0.667,0.000,0.161
37948.35681,37995.30516,420,0.177,0.000,0.624,0.199,0.000
37995.30516,38042.25352,421,0.183,0.000,0.617,0.199,0.000
38042.25352,38089.20188,422,0.180,0.000,0.601,0.219,0.000
38089.20188,38136.15023,423,0.179,0.000,0.597,0.223,0.000
38136.15023,38183.09859,424,0.172,0.047,0.535,0.247,0.000
38183.09859,38230.04695,425,0.168,0.094,0.470,0.269,0.000
38230.04695,38276.99531,426,0.170,0.000,0.626,0.000,0.205
38276.99531,38323.94366,427,0.158,0.000,0.607,0.000,0.235
38323.94366,38370.89202,428,0.147,0.059,0.562,0.000,0.233
38370.89202,38417.84038,429,0.135,0.091,0.557,0.000,0.217
38417.84038,38464.78873,430,0.134,0.052,0.565,0.000,0.250
38464.78873,38511.73709,431,0.124,0.077,0.515,0.035,0.250
38511.73709,38558.68545,432,0.121,0.095,0.507,0.000,0.277
38558.68545,38605.6338,433,0.117,0.164,0.460,0.038,0.220
38605.6338,38652.58216,434,0.113,0.149,0.462,0.038,0.238
38652.58216,38699.53052,435,0.117,0.147,0.383,0.094,0.258
38699.53052,38746.47887,436,0.121,0.125,0.375,0.120,0.260
38746.47887,39826.29108,437,0.114,0.063,0.259,0.195,0.369
39826.29108,39873.23944,460,0.074,0.000,0.147,0.281,0.498
39873.23944,39920.18779,461,0.114,0.000,0.376,0.000,0.510
39920.18779,39967.13615,462,0.156,0.000,0.464,0.000,0.380
39967.13615,40014.08451,463,0.186,0.000,0.265,0.274,0.275
40014.08451,40061.03286,464,0.158,0.032,0.469,0.003,0.337
40061.03286,40107.98122,465,0.157,0.000,0.403,0.197,0.242
40107.98122,40154.92958,466,0.094,0.000,0.461,0.192,0.252
40154.92958,40201.87793,467,0.093,0.000,0.562,0.069,0.276
40201.87793,40248.82629,468,0.107,0.000,0.526,0.113,0.255
40248.82629,40295.77465,469,0.119,0.062,0.476,0.141,0.201
40295.77465,40342.723,470,0.172,0.048,0.317,0.209,0.254
40342.723,40389.67136,471,0.179,0.114,0.191,0.156,0.359
40389.67136,40436.61972,472,0.154,0.079,0.239,0.026,0.503
40436.61972,40483.56808,473,0.153,0.057,0.188,0.210,0.394
40483.56808,40530.51643,474,0.148,0.058,0.235,0.084,0.476
40530.51643,40577.46479,475,0.077,0.060,0.296,0.241,0.327
40577.46479,40624.41315,476,0.118,0.052,0.298,0.127,0.405
40624.41315,40671.3615,477,0.132,0.028,0.332,0.141,0.367
40671.3615,40718.30986,478,0.123,0.069,0.312,0.096,0.400
40718.30986,40765.25822,479,0.086,0.036,0.350,0.131,0.397
40765.25822,40812.20657,480,0.104,0.000,0.367,0.159,0.369
40812.20657,40859.15493,481,0.103,0.000,0.403,0.290,0.204
40859.15493,40906.10329,482,0.103,0.009,0.485,0.224,0.179
40906.10329,40953.05164,483,0.108,0.000,0.459,0.123,0.311
40953.05164,41000,484,0.122,0.000,0.403,0.475,0.000
41000,41046.94836,485,0.117,0.042,0.563,0.053,0.226
41046.94836,41093.89671,486,0.118,0.003,0.566,0.110,0.204
41093.89671,41140.84507,487,0.127,0.047,0.515,0.067,0.244
41140.84507,41187.79343,488,0.120,0.027,0.551,0.000,0.302
41187.79343,41234.74178,489,0.123,0.243,0.330,0.304,0.000
41234.74178,41281.69014,490,0.124,0.405,0.242,0.228,0.000
41281.69014,41328.6385,491,0.133,0.149,0.425,0.000,0.293
41328.6385,41375.58685,492,0.130,0.060,0.169,0.245,0.396
