depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
167,27100.22,27318.08,0.00,0.60,5.90,5.90,9.83,-20.98
172,27318.08,27535.95,0.00,0.54,5.24,5.24,9.70,-21.48
177,27535.95,27753.81,0.00,0.52,4.87,4.87,9.37,-21.52
182,27753.81,27971.68,0.00,0.72,7.76,7.76,10.78,-19.90
187,27971.68,28189.54,0.00,0.44,4.24,4.24,9.64,-20.51
192,28189.54,28407.41,0.00,0.74,8.37,8.37,11.31,-19.10
197,28407.41,29932.46,0.00,0.75,8.45,8.45,11.27,-19.01
232,29932.46,30150.33,0.00,0.83,9.70,9.70,11.69,-19.20
237,30150.33,30368.19,0.00,0.87,10.22,10.22,11.75,-19.75
242,30368.19,30586.06,0.00,0.68,7.56,7.56,11.12,-21.37
247,30586.06,30803.92,0.00,0.53,5.69,5.69,10.74,-22.77
252,30803.92,31021.79,0.00,0.47,4.84,4.84,10.30,-22.48
257,31021.79,31239.65,0.00,0.27,2.69,2.69,9.96,-22.71
262,31239.65,31457.52,0.00,0.52,5.24,5.24,10.08,-22.82
267,31457.52,31675.38,0.00,0.54,5.45,5.45,10.09,-22.88
272,31675.38,31893.25,0.00,0.57,5.85,5.85,10.26,-22.79
277,31893.25,32111.11,0.00,0.60,6.59,6.59,10.98,-21.64
282,32111.11,32328.98,0.00,0.70,7.47,7.47,10.67,-21.75
287,32328.98,32546.84,0.00,0.69,7.59,7.59,11.00,-21.67
292,32546.84,32764.71,0.00,0.70,7.62,7.62,10.89,-21.30
297,32764.71,32982.57,0.00,0.62,6.68,6.68,10.77,-22.41
302,32982.57,33200.44,0.00,0.73,9.01,9.01,12.34,-19.94
307,33200.44,33418.30,0.00,0.53,6.34,6.34,11.96,-20.76
312,33418.30,33636.17,0.00,0.60,6.59,6.59,10.98,-20.41
317,33636.17,34725.49,0.00,0.25,2.95,2.95,11.80,-20.48
342,34725.49,34943.36,0.00,0.94,13.12,13.12,13.96,-17.44
347,34943.36,35161.22,0.00,1.05,15.22,15.22,14.50,-16.47
352,35161.22,35379.08,0.00,0.85,11.93,11.93,14.04,-18.03
357,35379.08,35596.95,0.00,0.53,6.30,6.30,11.89,-21.00
362,35596.95,35814.81,0.00,0.42,4.62,4.62,11.00,-22.84
367,35814.81,36032.68,0.00,0.37,3.88,3.88,10.49,-23.30
372,36032.68,36250.54,0.00,0.30,2.88,2.88,9.60,-23.29
377,36250.54,36468.41,0.00,0.22,2.17,2.17,9.86,-23.32
382,36468.41,36686.27,0.00,0.40,4.18,4.18,10.45,-23.35
387,36686.27,36904.14,0.00,0.46,4.72,4.72,10.26,-23.18
392,36904.14,37122.00,0.00,0.47,4.99,4.99,10.62,-23.03
397,37122.00,37339.87,0.00,0.54,6.09,6.09,11.28,-22.13
402,37339.87,37557.73,0.00,0.56,6.94,6.94,12.39,-21.39
407,37557.73,37775.60,0.00,0.72,8.89,8.89,12.35,-20.55
412,37775.60,37993.46,0.00,0.70,8.74,8.74,12.49,-20.57
417,37993.46,38211.33,0.00,0.75,9.62,9.62,12.83,-20.22
422,38211.33,38429.19,0.00,0.80,10.41,10.41,13.01,-20.34
427,38429.19,38647.06,0.00,0.65,7.99,7.99,12.29,-20.93
432,38647.06,39954.25,0.00,0.57,6.45,6.45,11.32,-21.54
462,39954.25,40172.11,0.00,0.63,6.34,6.34,10.06,-20.10
467,40172.11,40389.98,0.00,0.60,6.44,6.44,10.73,-21.39
472,40389.98,40607.84,0.00,0.69,8.68,8.68,12.58,-20.57
477,40607.84,40869.28,0.00,0.56,6.76,6.76,12.07,-21.41
483,40869.28,41043.57,0.00,0.48,5.21,5.21,10.85,-22.57
487,41043.57,41261.44,0.00,0.54,6.46,6.46,11.96,-21.65
492,41261.44,41479.30,0.00,0.59,7.06,7.06,11.97,-21.28
497,41479.30,41697.17,0.00,0.76,9.27,9.27,12.20,-20.39
502,41697.17,41915.03,0.00,0.80,10.38,10.38,12.98,-20.19
507,41915.03,42132.90,0.00,0.59,7.05,7.05,11.95,-21.41
512,42132.90,42350.76,0.00,0.62,7.08,7.08,11.42,-20.80
517,42350.76,42568.63,0.00,0.65,7.69,7.69,11.83,-20.38
522,42568.63,42786.49,0.00,0.62,7.24,7.24,11.68,-20.46
527,42786.49,43004.36,0.00,0.55,6.20,6.20,11.27,-20.56
532,43004.36,43222.22,0.00,0.51,5.85,5.85,11.47,-20.47
537,43222.22,43440.09,0.00,0.44,4.90,4.90,11.14,-21.44
542,43440.09,43657.95,0.00,0.36,3.44,3.44,9.56,-24.77
547,43657.95,43875.82,0.00,0.32,3.08,3.08,9.63,-24.63
552,43875.82,44093.68,0.00,0.54,5.99,5.99,11.09,-23.40
557,44093.68,45183.01,0.00,0.63,7.64,7.64,12.13,-23.01
582,45183.01,45400.87,0.00,0.57,6.26,6.26,10.98,-21.41
587,45400.87,45618.74,0.00,0.37,3.77,3.77,10.19,-23.91
592,45618.74,45836.60,0.00,0.55,6.15,6.15,11.18,-23.47
597,45836.60,46054.47,0.00,0.55,6.55,6.55,11.91,-23.25
602,46054.47,46272.33,0.00,0.43,4.80,4.80,11.16,-23.56
607,46272.33,46490.20,0.00,0.36,4.24,4.24,11.78,-23.78
612,46490.20,46708.06,0.00,0.35,4.31,4.31,12.31,-23.52
617,46708.06,46925.93,0.00,0.28,3.19,3.19,11.39,-23.35
622,46925.93,47143.79,0.00,0.28,2.56,2.56,9.14,-25.07
627,47143.79,47361.66,0.00,0.25,2.13,2.13,8.52,-25.55
632,47361.66,47579.52,0.00,0.24,1.90,1.90,7.92,-26.00
637,47579.52,47797.39,0.00,0.25,1.99,1.99,7.96,-25.73
642,47797.39,48015.25,0.00,0.28,2.33,2.33,8.32,-25.30
647,48015.25,48233.12,0.00,0.30,2.65,2.65,8.83,-25.07
652,48233.12,48450.98,0.00,0.34,3.23,3.23,9.50,-24.78
657,48450.98,48668.85,0.00,0.39,4.05,4.05,10.38,-24.30
662,48668.85,48886.71,0.00,0.46,5.34,5.34,11.61,-23.40
667,48886.71,49104.58,0.00,0.37,4.19,4.19,11.32,-23.26
672,49104.58,49322.44,0.00,0.40,4.35,4.35,10.88,-24.32
677,49322.44,50411.76,0.00,0.50,5.74,5.74,11.48,-24.41
702,50411.76,50629.63,0.00,0.61,6.74,6.74,11.05,-20.88
707,50629.63,50847.49,0.00,0.50,5.64,5.64,11.28,-21.34
712,50847.49,51065.36,0.00,0.43,4.37,4.37,10.16,-23.13
717,51065.36,51283.22,0.00,0.36,3.44,3.44,9.56,-24.50
722,51283.22,51501.09,0.00,0.32,3.15,3.15,9.84,-24.73
727,51501.09,51718.95,0.00,0.50,5.46,5.46,10.92,-23.50
732,51718.95,51936.82,0.00,0.28,2.97,2.97,10.61,-24.40
737,51936.82,52154.68,0.00,0.29,2.84,2.84,9.79,-24.54
742,52154.68,52372.55,0.00,0.60,6.91,6.91,11.52,-23.77
747,52372.55,52590.41,0.00,0.58,6.83,6.83,11.78,-23.47
752,52590.41,52808.28,0.00,0.55,6.35,6.35,11.55,-23.30
757,52808.28,53026.14,0.00,0.52,5.96,5.96,11.46,-23.16
762,53026.14,53244.01,0.00,0.58,6.82,6.82,11.76,-22.86
767,53244.01,53461.87,0.00,0.57,7.34,7.34,12.88,-20.18
772,53461.87,53679.74,0.00,0.39,4.70,4.70,12.05,-20.27
777,53679.74,53897.60,0.00,0.80,9.88,9.88,12.35,-20.83
782,53897.60,54115.47,0.00,0.78,9.46,9.46,12.13,-21.51
787,54115.47,54333.33,0.00,0.83,10.54,10.54,12.70,-21.03
792,54333.33,54551.20,0.00,0.93,12.40,12.40,13.33,-19.62
797,54551.20,55422.66,0.00,0.82,10.58,10.58,12.90,-20.55
817,55422.66,55640.52,0.00,0.14,0.77,0.77,5.50,-25.95
822,55640.52,55858.39,0.00,0.11,0.70,0.70,6.36,-26.05
827,55858.39,56076.25,0.00,0.18,0.93,0.93,5.17,-25.63
832,56076.25,56294.12,0.00,0.16,0.71,0.71,4.44,-26.02
837,56294.12,56511.98,0.00,0.17,0.70,0.70,4.12,-26.13
842,56511.98,56729.85,0.00,0.15,0.71,0.71,4.73,-25.99
847,56729.85,56947.71,0.00,0.14,0.65,0.65,4.64,-26.11
852,56947.71,57165.58,0.00,0.13,0.66,0.66,5.08,-26.07
857,57165.58,57383.44,0.00,0.12,0.60,0.60,5.00,-25.98
862,57383.44,57601.31,0.00,0.12,0.65,0.65,5.42,-25.91
867,57601.31,57819.17,0.00,0.13,0.75,0.75,5.77,-25.98
872,57819.17,58037.04,0.00,0.09,0.71,0.71,7.89,-26.01
877,58037.04,58254.90,0.00,0.09,0.67,0.67,7.44,-25.86
882,58254.90,58472.77,0.00,0.12,0.82,0.82,6.83,-26.19
887,58472.77,58690.63,0.00,0.01,0.60,0.60,60.00,-26.07
892,58690.63,58908.50,0.00,0.09,0.65,0.65,7.22,-26.14
897,58908.50,60869.28,0.00,0.09,0.78,0.78,8.67,-26.19
942,60869.28,61086.39,0.00,0.08,0.58,0.58,7.25,-26.27
947,61086.39,61302.38,0.01,0.16,1.88,1.88,11.75,-26.28
952,61302.38,61518.36,0.32,0.14,2.05,1.73,12.36,-26.29
957,61518.36,61734.34,0.00,0.10,0.74,0.74,7.40,-26.27
962,61734.34,61950.32,0.61,0.14,2.39,1.78,12.71,-26.18
967,61950.32,62166.31,0.01,0.19,1.87,1.87,9.84,-25.75
972,62166.31,62382.29,0.00,0.18,1.70,1.70,9.44,-25.69
977,62382.29,62598.27,0.00,0.19,1.83,1.83,9.63,-25.99
982,62598.27,62814.25,0.00,0.25,2.07,2.07,8.28,-25.68
987,62814.25,63030.24,0.00,0.28,2.32,2.32,8.29,-25.18
992,63030.24,63246.22,0.00,0.26,2.07,2.07,7.96,-25.43
997,63246.22,63462.20,0.00,0.25,2.13,2.13,8.52,-25.54
1002,63462.20,63678.19,0.00,0.24,1.96,1.96,8.17,-25.47
1007,63678.19,63894.17,0.00,0.20,1.63,1.63,8.15,-25.58
1012,63894.17,64110.15,0.00,0.20,1.74,1.74,8.70,-25.68
1017,64110.15,64326.13,0.00,0.23,1.87,1.87,8.13,-25.94
1022,64326.13,64542.12,0.00,0.20,1.66,1.66,8.30,-25.95
1027,64542.12,64758.10,0.00,0.18,1.52,1.52,8.44,-26.12
1032,64758.10,64974.08,0.00,0.18,1.65,1.65,9.17,-26.37
1037,64974.08,65190.06,0.00,0.17,1.82,1.82,10.71,-26.19
1042,65190.06,65406.05,0.00,0.14,1.26,1.26,9.00,-26.32
1047,65406.05,65622.03,0.00,0.12,1.06,1.06,8.83,-26.24
1052,65622.03,65838.01,0.00,0.11,0.94,0.94,8.55,-26.17
1057,65838.01,66054.00,0.00,0.16,1.44,1.44,9.00,-26.13
1062,66054.00,66269.98,0.00,0.16,1.51,1.51,9.44,-26.32
1067,66269.98,66485.96,0.00,0.17,1.56,1.56,9.18,-26.37
1072,66485.96,66701.94,0.00,0.17,1.69,1.69,9.94,-26.36
1077,66701.94,66917.93,0.00,0.19,2.04,2.04,10.74,-26.19
1082,66917.93,67133.91,0.00,0.19,2.01,2.01,10.58,-26.29
1087,67133.91,67349.89,0.01,0.19,2.15,2.15,11.32,-26.13
1092,67349.89,67565.87,0.00,0.19,1.99,1.99,10.47,-26.23
1097,67565.87,67781.86,0.00,0.21,1.91,1.91,9.10,-25.94
1102,67781.86,67997.84,0.00,0.25,2.16,2.16,8.64,-25.63
1107,67997.84,68213.82,0.00,0.30,2.64,2.64,8.80,-25.47
1112,68213.82,68429.81,0.00,0.30,2.64,2.64,8.80,-25.50
1117,68429.81,68645.79,0.00,0.34,3.26,3.26,9.59,-25.56
1122,68645.79,68861.77,0.00,0.30,2.85,2.85,9.50,-25.76
1127,68861.77,69077.75,0.00,0.27,2.53,2.53,9.37,-25.90
1132,69077.75,69293.74,0.00,0.30,3.13,3.13,10.43,-25.56
1137,69293.74,69509.72,0.00,0.29,2.99,2.99,10.31,-25.75
1142,69509.72,69725.70,0.00,0.30,3.16,3.16,10.53,-25.63
1147,69725.70,69941.68,0.00,0.40,4.09,4.09,10.23,-24.86
1152,69941.68,70157.67,0.00,0.49,5.66,5.66,11.55,-24.51
1157,70157.67,70373.65,0.00,0.57,7.41,7.41,13.00,-23.65
1162,70373.65,70589.63,0.00,0.57,7.96,7.96,13.96,-22.90
1167,70589.63,70805.62,0.00,0.62,8.13,8.13,13.11,-22.56
1172,70805.62,71021.60,0.00,0.51,6.40,6.40,12.55,-24.05
1177,71021.60,71237.58,0.00,0.58,7.87,7.87,13.57,-24.03
1182,71237.58,71453.56,0.00,0.48,6.67,6.67,13.90,-24.04
1187,71453.56,71669.55,0.00,0.29,3.10,3.10,10.69,-26.09
1192,71669.55,71885.53,0.00,,,,,-26.53
1197,71885.53,72101.51,0.00,0.41,5.14,5.14,12.54,-26.64
1202,72101.51,72317.49,0.00,0.47,6.11,6.11,13.00,-26.50
1207,72317.49,72533.48,0.00,0.42,5.29,5.29,12.60,-26.50
1212,72533.48,72749.46,0.00,0.25,2.73,2.73,10.92,-26.49
1217,72749.46,72965.44,0.00,0.19,1.79,1.79,9.42,-26.30
1222,72965.44,73181.43,0.00,0.19,2.15,2.15,11.32,-26.01
1227,73181.43,73397.41,0.00,0.26,2.62,2.62,10.08,-25.44
1232,73397.41,73613.39,0.00,0.28,3.04,3.04,10.86,-25.14
1237,73613.39,73829.37,0.00,0.30,3.20,3.20,10.67,-25.34
1242,73829.37,74045.36,0.00,0.32,3.50,3.50,10.94,-25.61
1247,74045.36,74261.34,0.00,0.32,3.66,3.66,11.44,-25.81
1252,74261.34,74477.32,0.00,0.29,3.28,3.28,11.31,-25.87
1257,74477.32,74693.30,0.00,0.27,2.63,2.63,9.74,-25.89
1262,74693.30,74909.29,0.00,0.28,2.79,2.79,9.96,-25.75
1267,74909.29,75125.27,0.00,0.38,3.94,3.94,10.37,-25.27
1272,75125.27,75341.25,0.00,0.34,3.60,3.60,10.59,-25.32
1277,75341.25,75557.24,0.00,0.28,2.75,2.75,9.82,-25.75
1282,75557.24,75773.22,0.00,0.22,2.62,2.62,11.91,-25.62
1287,75773.22,75989.20,0.00,0.27,3.05,3.05,11.30,-25.31
1292,75989.20,76205.18,0.00,0.29,3.26,3.26,11.24,-25.52
1297,76205.18,76421.17,0.00,0.25,2.86,2.86,11.44,-25.65
1302,76421.17,76637.15,0.00,0.22,2.24,2.24,10.18,-25.72
1307,76637.15,76853.13,0.00,0.22,2.20,2.20,10.00,-25.97
1312,76853.13,77069.11,0.00,0.25,2.60,2.60,10.40,-25.70
1317,77069.11,77285.10,-0.01,0.28,2.86,2.86,10.21,-25.73
1322,77285.10,77501.08,0.00,0.35,3.65,3.65,10.43,-25.34
1327,77501.08,77717.06,0.00,0.33,3.63,3.63,11.00,-25.26
1332,77717.06,77933.05,0.00,0.31,2.96,2.96,9.55,-25.65
1337,77933.05,78149.03,0.00,0.15,0.72,0.72,4.80,-25.84
1342,78149.03,78365.01,0.00,0.15,0.56,0.56,3.73,-25.63
1347,78365.01,78580.99,0.00,0.18,0.61,0.61,3.39,-26.07
1352,78580.99,78796.98,0.00,0.17,0.58,0.58,3.41,-26.01
1357,78796.98,79012.96,0.00,0.15,0.53,0.53,3.53,-25.65
1362,79012.96,79228.94,0.00,0.11,0.45,0.45,4.09,-25.75
1367,79228.94,79444.92,0.00,0.11,0.56,0.56,5.09,-25.75
1372,79444.92,79660.91,0.00,0.09,0.44,0.44,4.89,-25.17
1377,79660.91,79876.89,0.00,0.09,0.50,0.50,5.56,-25.23
1382,79876.89,80092.87,0.00,0.01,0.50,0.50,50.00,-25.08
1387,80092.87,80308.86,-0.01,0.08,0.53,0.53,6.63,-24.88
1392,80308.86,80524.84,-0.01,0.11,0.69,0.69,6.27,-25.24
1397,80524.84,80740.82,0.00,0.08,0.69,0.69,8.63,-25.51
1402,80740.82,80956.80,0.00,0.01,0.69,0.69,69.00,-25.89
1407,80956.80,81180.65,0.00,0.09,0.77,0.77,8.56,-25.66
1412,81180.65,81406.45,0.00,0.11,1.47,1.47,13.36,-25.70
1417,81406.45,81632.26,0.00,0.16,1.16,1.16,7.25,-25.78
1422,81632.26,81858.06,0.00,0.16,1.38,1.38,8.63,-25.65
1427,81858.06,82083.87,0.00,0.17,2.21,2.21,13.00,-25.70
1432,82083.87,82309.68,-0.01,0.21,3.16,3.16,15.05,-25.71
1437,82309.68,82535.48,0.00,0.22,3.40,3.40,15.45,-26.03
1442,82535.48,82761.29,0.00,0.22,2.69,2.69,12.23,-25.89
1447,82761.29,82987.10,0.00,0.36,4.62,4.62,12.83,-26.08
1452,82987.10,83212.90,0.00,0.48,7.65,7.65,15.94,-26.18
1457,83212.90,83438.71,0.00,0.56,9.73,9.73,17.38,-26.20
1462,83438.71,83664.52,-0.01,1.36,20.04,20.04,14.74,-25.34
1467,83664.52,83890.32,0.00,0.57,10.29,10.29,18.05,-26.25
1472,83890.32,84116.13,0.00,0.56,9.29,9.29,16.59,-27.32
1477,84116.13,84341.94,0.00,0.35,5.28,5.28,15.09,-26.83
1482,84341.94,84567.74,0.00,0.35,4.40,4.40,12.57,-27.28
1487,84567.74,84793.55,0.00,0.39,4.85,4.85,12.44,-27.12
1492,84793.55,85019.35,0.00,0.45,7.38,7.38,16.40,-28.50
1497,85019.35,85245.16,-0.01,0.62,11.29,11.29,18.21,-27.47
1502,85245.16,85696.77,0.00,0.33,5.19,5.19,15.73,-27.04
1512,85696.77,85922.58,0.00,0.79,14.73,14.73,18.65,-27.12
1517,85922.58,86148.39,0.00,0.75,13.92,13.92,18.56,-26.98
1522,86148.39,86374.19,0.00,0.78,17.75,17.75,22.76,-26.40
1527,86374.19,86600.00,0.00,0.49,8.26,8.26,16.86,-26.95
1532,86600.00,86825.81,0.00,0.39,5.23,5.23,13.41,-27.06
1537,86825.81,87051.61,0.00,0.39,5.14,5.14,13.18,-27.21
1542,87051.61,87277.42,0.00,0.36,4.42,4.42,12.28,-26.63
1547,87277.42,87503.23,0.00,0.25,2.40,2.40,9.60,-25.42
1552,87503.23,87729.03,0.00,0.20,1.68,1.68,8.40,-25.86
1557,87729.03,87954.84,0.00,0.19,1.56,1.56,8.21,-27.04
1562,87954.84,88180.65,0.00,0.20,1.91,1.91,9.55,-26.86
1567,88180.65,88406.45,0.00,0.19,1.77,1.77,9.32,-26.79
1572,88406.45,88632.26,0.00,0.22,2.26,2.26,10.27,-26.87
1577,88632.26,88858.06,0.00,0.19,1.80,1.80,9.47,-26.72
1582,88858.06,89083.87,0.00,0.20,1.86,1.86,9.30,-26.42
1587,89083.87,89309.68,0.00,0.17,1.53,1.53,9.00,-26.52
1592,89309.68,89535.48,0.00,0.18,1.59,1.59,8.83,-26.70
1597,89535.48,89761.29,0.00,0.20,1.67,1.67,8.35,-26.33
1602,89761.29,89987.10,0.00,0.19,1.54,1.54,8.11,-26.47
1607,89987.10,90212.90,0.00,0.20,1.68,1.68,8.40,-26.48
1612,90212.90,90438.71,0.00,0.27,2.79,2.79,10.33,-27.63
1617,90438.71,90664.52,0.00,0.28,2.63,2.63,9.39,-27.20
1622,90664.52,90890.32,0.00,0.26,2.37,2.37,9.12,-27.24
1627,90890.32,91116.13,-0.01,0.22,1.92,1.92,8.73,-27.95
1632,91116.13,91341.94,-0.01,0.23,2.18,2.18,9.48,-27.35
1637,91341.94,134145.92,0.00,0.18,1.74,1.74,9.67,-27.11
2622,134145.92,134360.52,0.00,0.16,1.42,1.42,8.88,-25.75
2627,134360.52,134575.11,0.00,0.16,1.06,1.06,6.63,-25.99
2632,134575.11,134789.70,0.00,0.15,0.95,0.95,6.33,-26.41
2637,134789.70,135004.29,0.00,0.16,1.04,1.04,6.50,-26.54
2642,135004.29,135218.88,0.00,0.14,0.71,0.71,5.07,-26.79
2647,135218.88,135433.48,0.00,0.13,0.70,0.70,5.38,-26.68
2652,135433.48,135648.07,0.00,0.14,0.69,0.69,4.93,-27.04
2657,135648.07,135862.66,0.00,0.14,0.75,0.75,5.36,-26.77
2662,135862.66,136077.25,0.00,0.14,0.80,0.80,5.71,-26.95
2667,136077.25,136291.85,0.00,0.14,0.81,0.81,5.79,-27.29
2672,136291.85,136506.44,0.00,0.14,0.96,0.96,6.86,-27.48
2677,136506.44,136721.03,0.00,0.14,0.93,0.93,6.64,-27.38
2682,136721.03,136935.62,0.00,0.22,2.05,2.05,9.32,-28.31
2687,136935.62,137150.21,0.00,0.19,1.33,1.33,7.00,-27.16
2692,137150.21,137364.81,0.00,0.22,1.59,1.59,7.23,-28.10
2697,137364.81,137579.40,0.00,0.20,1.17,1.17,5.85,-27.43
2702,137579.40,137793.99,0.00,0.19,1.01,1.01,5.32,-27.08
2707,137793.99,138008.58,0.00,0.19,1.01,1.01,5.32,-26.77
2712,138008.58,138223.18,0.00,0.18,0.97,0.97,5.39,-26.50
2717,138223.18,139296.14,0.00,0.19,1.11,1.11,5.84,-26.68
2742,139296.14,139510.73,0.00,0.21,2.27,2.27,10.81,-26.84
2747,139510.73,139725.32,0.00,0.24,2.25,2.25,9.38,-26.63
2752,139725.32,139939.91,0.00,0.01,0.06,0.06,6.00,-26.97
2757,139939.91,140154.51,0.00,0.16,0.86,0.86,5.38,-26.51
2762,140154.51,140369.10,0.00,0.16,0.82,0.82,5.13,-26.77
2767,140369.10,140583.69,0.00,0.15,0.81,0.81,5.40,-26.73
2772,140583.69,140798.28,0.00,0.14,0.85,0.85,6.07,-26.98
2777,140798.28,141012.88,0.00,0.15,0.89,0.89,5.93,-27.38
2782,141012.88,141227.47,0.00,0.19,1.81,1.81,9.53,-27.29
2787,141227.47,141442.06,0.00,0.19,1.44,1.44,7.58,-27.42
2792,141442.06,141656.65,0.00,0.19,1.67,1.67,8.79,-26.92
2797,141656.65,141871.24,0.00,0.19,1.73,1.73,9.11,-27.00
2802,141871.24,142086.39,0.00,0.19,1.65,1.65,8.68,-27.09
2807,142086.39,142302.38,0.00,0.18,1.84,1.84,10.22,-27.34
2812,142302.38,142518.36,0.00,0.19,2.01,2.01,10.58,-27.46
2817,142518.36,142734.34,0.00,0.20,2.23,2.23,11.15,-27.45
2822,142734.34,142950.32,0.00,0.16,1.59,1.59,9.94,-26.97
2827,142950.32,143166.31,0.00,0.19,2.02,2.02,10.63,-27.05
2832,143166.31,143382.29,0.00,0.20,2.29,2.29,11.45,-27.63
2837,143382.29,143814.25,0.00,0.22,2.44,2.44,11.09,-27.52
2847,143814.25,144030.24,0.00,0.16,1.05,1.05,6.56,-26.58
2852,144030.24,144246.22,0.00,0.16,1.18,1.18,7.38,-25.23
2857,144246.22,144462.20,0.00,0.18,1.23,1.23,6.83,-26.09
2862,144462.20,144678.19,0.00,0.66,10.46,10.46,15.85,-28.32
2867,144678.19,144894.17,0.00,0.69,12.30,12.30,17.83,-28.05
2872,144894.17,145110.15,0.00,0.63,12.71,12.71,20.17,-27.86
2877,145110.15,145326.13,0.00,0.45,6.30,6.30,14.00,-28.01
2882,145326.13,145542.12,0.00,0.74,13.73,13.73,18.55,-28.00
2887,145542.12,145758.10,0.00,0.62,15.00,15.00,24.19,-28.61
2892,145758.10,145974.08,0.00,0.19,2.50,2.50,13.16,-27.68
2897,145974.08,146190.06,0.00,0.14,1.42,1.42,10.14,-26.72
2902,146190.06,146406.05,0.00,0.13,1.24,1.24,9.54,-26.71
2907,146406.05,146622.03,0.00,0.12,1.05,1.05,8.75,-26.82
2912,146622.03,146838.01,0.00,0.12,1.04,1.04,8.67,-26.09
2917,146838.01,147054.00,0.00,0.16,1.06,1.06,6.63,-26.57
2922,147054.00,147269.98,0.00,0.15,1.09,1.09,7.27,-26.62
2927,147269.98,147485.96,0.00,0.17,1.14,1.14,6.71,-26.66
2932,147485.96,147701.94,0.00,0.16,1.19,1.19,7.44,-26.82
2937,147701.94,147917.93,0.00,0.17,1.32,1.32,7.76,-26.63
2942,147917.93,148133.91,0.00,0.16,1.20,1.20,7.50,-26.70
2947,148133.91,148349.89,0.00,0.16,1.15,1.15,7.19,-26.46
2952,148349.89,148479.48,0.00,0.14,1.45,1.45,10.36,-26.24
2955,148479.48,148565.87,,,,,,
2957,148565.87,149645.79,0.00,0.17,1.44,1.44,8.47,-26.22
2982,149645.79,149861.77,0.00,0.16,1.15,1.15,7.19,-26.88
2987,149861.77,150077.75,0.00,0.15,1.27,1.27,8.47,-26.83
2992,150077.75,150293.74,0.00,0.15,1.19,1.19,7.93,-26.51
2997,150293.74,150509.72,0.00,0.15,1.30,1.30,8.67,-26.46
3002,150509.72,150725.70,0.00,0.14,1.37,1.37,9.79,-26.30
3007,150725.70,150941.68,0.00,0.13,1.05,1.05,8.08,-26.33
3012,150941.68,151157.67,0.00,0.10,0.49,0.49,4.90,-26.78
3017,151157.67,151373.65,0.00,0.15,1.38,1.38,9.20,-26.12
3022,151373.65,151589.63,0.00,0.13,0.89,0.89,6.85,-26.33
3027,151589.63,151805.62,0.00,0.14,1.05,1.05,7.50,-26.50
3032,151805.62,152021.60,0.00,0.16,1.32,1.32,8.25,-26.33
3037,152021.60,152237.58,0.00,0.10,0.49,0.49,4.90,-26.66
3042,152237.58,152453.56,,0.11,0.57,0.57,5.18,-26.57
3047,152453.56,152669.55,0.00,0.12,0.77,0.77,6.42,-27.13
3052,152669.55,152885.53,0.00,0.11,0.56,0.56,5.09,-26.75
3057,152885.53,153101.51,0.00,0.13,0.71,0.71,5.46,-27.06
3062,153101.51,153317.49,0.00,0.12,0.61,0.61,5.08,-26.86
3067,153317.49,153533.48,0.00,0.15,0.80,0.80,5.33,-26.89
3072,153533.48,153749.46,0.00,0.15,0.85,0.85,5.67,-26.96
3077,153749.46,155045.36,0.00,0.14,0.87,0.87,6.21,-26.88
3107,155045.36,155261.34,0.00,0.16,1.28,1.28,8.00,-26.44
3112,155261.34,155477.32,0.00,0.18,1.36,1.36,7.56,-26.54
3117,155477.32,155693.30,0.00,0.18,1.51,1.51,8.39,-26.49
3122,155693.30,155909.29,0.00,0.18,1.33,1.33,7.39,-26.39
3127,155909.29,156125.27,0.00,0.18,1.42,1.42,7.89,-26.47
3132,156125.27,156341.25,0.00,0.19,1.42,1.42,7.47,-26.52
3137,156341.25,156557.24,0.00,0.18,1.87,1.87,10.39,-26.41
3142,156557.24,156773.22,0.00,0.18,2.50,2.50,13.89,-26.59
3147,156773.22,156989.20,0.00,0.19,1.88,1.88,9.89,-26.65
3152,156989.20,157205.18,0.00,0.24,2.14,2.14,8.92,-26.36
3157,157205.18,157421.17,0.00,0.27,2.44,2.44,9.04,-27.38
3162,157421.17,157637.15,0.00,0.26,2.32,2.32,8.92,-27.60
3167,157637.15,157853.13,0.00,0.27,2.53,2.53,9.37,-28.03
3172,157853.13,158069.11,0.00,0.26,2.48,2.48,9.54,-27.85
3177,158069.11,158285.10,0.00,0.25,2.36,2.36,9.44,-27.95
3182,158285.10,158717.06,0.00,0.26,2.53,2.53,9.73,-27.74
3192,158717.06,158933.05,0.00,0.25,2.68,2.68,10.72,-28.15
3197,158933.05,159149.03,0.00,0.31,4.35,4.35,14.03,-27.66
3202,159149.03,159365.01,0.00,0.24,2.30,2.30,9.58,-27.87
3207,159365.01,159580.99,0.00,0.26,2.33,2.33,8.96,-28.44
3212,159580.99,159796.98,0.00,0.31,3.46,3.46,11.16,-28.22
3217,159796.98,160012.96,0.00,0.23,2.17,2.17,9.43,-28.12
3222,160012.96,160228.94,0.00,0.31,3.56,3.56,11.48,-27.83
3227,160228.94,160444.92,0.00,0.34,4.84,4.84,14.24,-27.98
3232,160444.92,160660.91,0.00,0.38,5.41,5.41,14.24,-28.56
3237,160660.91,160876.89,0.00,0.24,2.82,2.82,11.75,-27.89
3242,160876.89,161092.87,0.00,0.19,2.04,2.04,10.74,-27.67
