depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
4647,223669.64,223892.86,0.00,0.16,1.24,1.24,7.75,-26.61
4652,223892.86,224116.07,0.00,0.17,1.03,1.03,6.06,-27.09
4657,224116.07,224339.29,0.00,0.16,1.09,1.09,6.81,-26.87
4662,224339.29,224562.50,0.00,0.17,1.33,1.33,7.82,-26.79
4667,224562.50,224785.71,0.00,0.18,1.17,1.17,6.50,-27.24
4672,224785.71,225008.93,0.00,0.20,1.39,1.39,6.95,-26.77
4677,225008.93,225232.14,0.00,0.18,1.21,1.21,6.72,-26.97
4682,225232.14,225455.36,0.00,0.16,1.14,1.14,7.13,-26.64
4687,225455.36,225678.57,0.00,0.15,0.87,0.87,5.80,-26.70
4692,225678.57,225901.79,0.00,0.14,0.86,0.86,6.14,-26.58
4697,225901.79,226125.00,0.00,0.15,0.99,0.99,6.60,-26.43
4702,226125.00,226348.21,0.00,0.16,1.13,1.13,7.06,-26.42
4707,226348.21,226571.43,0.00,0.15,1.12,1.12,7.47,-26.46
4712,226571.43,226794.64,0.00,0.13,1.09,1.09,8.38,-26.59
4717,226794.64,227017.86,0.00,0.12,0.95,0.95,7.92,-26.59
4722,227017.86,227241.07,0.00,0.13,1.11,1.11,8.54,-25.97
4727,227241.07,227464.29,0.00,0.15,1.50,1.50,10.00,-26.39
4732,227464.29,227687.50,,,,,,-25.35
4737,227687.50,228133.93,0.00,0.12,1.68,1.68,14.00,-26.47
4747,228133.93,228357.14,0.00,0.15,1.86,1.86,12.40,-26.49
4752,228357.14,229696.43,0.00,0.17,1.52,1.52,8.94,-26.63
4782,229696.43,229919.64,0.00,0.16,1.53,1.53,9.56,-26.72
4787,229919.64,230142.86,0.00,0.15,1.60,1.60,10.67,-26.69
4792,230142.86,230366.07,0.00,0.16,1.96,1.96,12.25,-26.72
4797,230366.07,230589.29,0.00,0.17,1.85,1.85,10.88,-26.99
4802,230589.29,230812.50,0.00,0.19,1.81,1.81,9.53,-26.74
4807,230812.50,231035.71,0.00,0.23,1.97,1.97,8.57,-27.04
4812,231035.71,231258.93,0.00,0.28,2.88,2.88,10.29,-27.42
4817,231258.93,231482.14,0.00,0.31,4.67,4.67,15.06,-27.56
4822,231482.14,231705.36,0.00,0.26,4.13,4.13,15.88,-27.64
4827,231705.36,231928.57,0.00,0.29,4.80,4.80,16.55,-27.73
4832,231928.57,232151.79,0.00,0.45,8.09,8.09,17.98,-27.91
4837,232151.79,232375.00,0.00,0.47,7.99,7.99,17.00,-27.69
4842,232375.00,232598.21,0.00,0.43,5.38,5.38,12.51,-28.42
4847,232598.21,232821.43,0.00,0.44,6.54,6.54,14.86,-28.45
4852,232821.43,233044.64,0.00,0.46,7.40,7.40,16.09,-28.36
4857,233044.64,233267.86,0.00,0.49,8.44,8.44,17.22,-28.25
4862,233267.86,233491.07,0.00,0.58,11.84,11.84,20.41,-28.09
4867,233491.07,234160.71,0.00,0.55,9.57,9.57,17.40,-27.95
4882,234160.71,234383.93,0.00,0.38,5.69,5.69,14.97,-28.35
4887,234383.93,234607.14,0.00,0.37,4.96,4.96,13.41,-28.33
4892,234607.14,234830.36,0.00,0.34,4.48,4.48,13.18,-28.32
4897,234830.36,235053.57,0.00,0.27,2.77,2.77,10.26,-28.28
4902,235053.57,235276.79,0.00,0.23,1.94,1.94,8.43,-27.79
