"","depth","upper_age","lower_age","TIC_percent","N_percent","C_percent","TOC_percent","TC_TN","d13C","LOI375","sand","coarsesilt","finesilt","clay"
"17",277,31893.25,32111.11,0,0.6,6.59,6.59,10.98,-21.64,0.116367149779034,0.0545279502840988,0.355659075205182,0.126895100063133,0.345603174636985
"18",282,32111.11,32328.98,0,0.7,7.47,7.47,10.67,-21.75,0.14199985814198,0,0.326333853479408,0.150666004662571,0.381000283716041
"19",287,32328.98,32546.84,0,0.69,7.59,7.59,11,-21.67,0.120698164110525,0.0190054381026303,0.347705646800015,0.187036022131552,0.325554728855277
"20",292,32546.84,32764.71,0,0.7,7.62,7.62,10.89,-21.3,0.138104615817169,0.0892738390167064,0.30550151986172,0.130667703337817,0.337347706149418
"21",297,32764.71,32982.57,0,0.62,6.68,6.68,10.77,-22.41,0.122118260999958,0.219121242999757,0.333465589000338,0.173886211999739,0.151408695000208
"22",302,32982.57,33200.44,0,0.73,9.01,9.01,12.34,-19.94,0.147143704730837,0.261642055791102,0.173366512561146,0.405953197716211,0.0116657882545369
"23",307,33200.44,33418.3,0,0.53,6.34,6.34,11.96,-20.76,0.171346860039414,0.000869372007882783,0.250932171219604,0.114815460433553,0.462166764291663
"24",312,33418.3,33636.17,0,0.6,6.59,6.59,10.98,-20.41,0.173127447495127,0.00257842649317848,0.264833250384034,0.0944902811188893,0.464745105009745
"25",317,33636.17,34725.49,0,0.25,2.95,2.95,11.8,-20.48,0.174287605240371,0.00420264733651914,0.292445004720825,0.0661824321349521,0.462424789519258
"26",342,34725.49,34943.36,0,0.94,13.12,13.12,13.96,-17.44,0.319117834812087,0.111176645824615,0.409176291179561,0.159882165187913,0
"27",347,34943.36,35161.22,0,1.05,15.22,15.22,14.5,-16.47,0.166167231010249,1.92958857979319e-05,0.560671969941435,0.190675356002928,0.0824661471595906
"28",352,35161.22,35379.08,0,0.85,11.93,11.93,14.04,-18.03,0.0941241968835543,0,0.533901957810667,0.371973845305779,0
"29",357,35379.08,35596.95,0,0.53,6.3,6.3,11.89,-21,0.0760791716686163,0.0271583433372326,0.553804767621276,0.342957717372875,0
"30",362,35596.95,35814.81,0,0.42,4.62,4.62,11,-22.84,0.0679150349447775,0.0410849650552225,0.518084965055223,0.372,0
"31",367,35814.81,36032.68,0,0.37,3.88,3.88,10.49,-23.3,0.0553336408343125,0.214998154994125,0.470335485840187,0.096332718331375,0.162555453055229
"32",372,36032.68,36250.54,0,0.3,2.88,2.88,9.6,-23.29,0.0476078320946673,0.501863219929305,0.19407803936069,0.255450908615338,0
"33",377,36250.54,36468.41,0,0.22,2.17,2.17,9.86,-23.32,0.0788555141980495,0.0387490192946113,0.477779498960024,0.204018978728756,0.200760486790267
"34",382,36468.41,36686.27,0,0.4,4.18,4.18,10.45,-23.35,0.0840457340788899,0.00381706368444022,0.509934473749454,0.202876440199407,0.200280554208918
"35",387,36686.27,36904.14,0,0.46,4.72,4.72,10.26,-23.18,0.0908824489289936,0.0650612232248399,0.362296325366853,0.481642451408307,0
"36",392,36904.14,37122,0,0.47,4.99,4.99,10.62,-23.03,0.108516363936887,0.0604636311044755,0.496372729526653,0.138036327573547,0.195610947858437
"37",397,37122,37339.87,0,0.54,6.09,6.09,11.28,-22.13,0.117398600078895,0.0024055996844191,0.448223798658781,0.110762202130171,0.321209799447733
"38",402,37339.87,37557.73,0,0.56,6.94,6.94,12.39,-21.39,0.140392309763324,0,0.497647701005961,0.0595676794673915,0.301392309763324
"39",407,37557.73,37775.6,0,0.72,8.89,8.89,12.35,-20.55,0.155281403925803,0,0.602484913740312,0.0367010470016531,0.204852986313682
"40",412,37775.6,37993.46,0,0.7,8.74,8.74,12.49,-20.57,0.163281119936884,0,0.583444759731756,0.107814036954638,0.146139803392501
"41",417,37993.46,38211.33,0,0.75,9.62,9.62,12.83,-20.22,0.182764188517807,0,0.617275113395892,0.199,0
"42",422,38211.33,38429.19,0,0.8,10.41,10.41,13.01,-20.34,0.169202657984219,0.0374750747416968,0.563807322769099,0.107242501122515,0.12327244338247
"43",427,38429.19,38647.06,0,0.65,7.99,7.99,12.29,-20.93,0.131582530589467,0.0580436735263333,0.552912652947333,0.0084611429368666,0.25
"44",432,38647.06,39954.25,0,0.57,6.45,6.45,11.32,-21.54,0.116529511999993,0.147235244000003,0.392292138000136,0.0874131679999033,0.255647559999965
"45",462,39954.25,40172.11,0,0.63,6.34,6.34,10.06,-20.1,0.177765750709929,0,0.319620520290804,0.198793856484019,0.303819872515248
"46",467,40172.11,40389.98,0,0.6,6.44,6.44,10.73,-21.39,0.0981232019868635,0,0.54882605203378,0.0851014919587139,0.268315197019705
"47",472,40389.98,40607.84,0,0.69,8.68,8.68,12.58,-20.57,0.153993425968447,0.0788553713058334,0.238664724390796,0.0272096218057571,0.50228343056072
"48",477,40607.84,40869.28,0,0.56,6.76,6.76,12.07,-21.41,0.127057887006063,0.0364721937038924,0.319997725586152,0.136057887006063,0.38041430669783
"49",483,40869.28,41043.57,0,0.48,5.21,5.21,10.85,-22.57,0.104078319881674,0.00705902421298608,0.479392736615293,0.202217938390177,0.207467644876204
"50",487,41043.57,41261.44,0,0.54,6.46,6.46,11.96,-21.65,0.117928040936893,0.00580640346116646,0.565784122810679,0.105898333402911,0.20558309938835
"51",492,41261.44,41479.3,0,0.59,7.06,7.06,11.97,-21.28,0.129118048425974,0.259419955883419,0.346066984661462,0.0983427732086698,0.166620909867806
"52",497,41479.3,41697.17,0,0.76,9.27,9.27,12.2,-20.39,0.159,0.0414909201281821,0.15846373110023,0.293727199145452,0.347318149626135
"53",502,41697.17,41915.03,0,0.8,10.38,10.38,12.98,-20.19,0.168346931255304,0,0.57815027897679,0.214129697848793,0.0393730919191126
"54",507,41915.03,42132.9,0,0.59,7.05,7.05,11.95,-21.41,0.14768735989926,0,0.576315553514543,0.275997086586197,0
"55",512,42132.9,42350.76,0,0.62,7.08,7.08,11.42,-20.8,0.115,0.00765385031553815,0.555676876465973,0.00653850315538145,0.315261540126215
"56",517,42350.76,42568.63,0,0.65,7.69,7.69,11.83,-20.38,0.127313563881678,0,0.481483067566151,0,0.39097455651273
"57",522,42568.63,42786.49,0,0.62,7.24,7.24,11.68,-20.46,0.139352723716015,0.0262363814199259,0.521469990219041,0,0.313529085574022
"58",527,42786.49,43004.36,0,0.55,6.2,6.2,11.27,-20.56,0.114686578189313,0.0714701327160311,0.433231440672261,0.0330819811384263,0.347529867283969
"59",532,43004.36,43222.22,0,0.51,5.85,5.85,11.47,-20.47,0.107614263973068,0.139864644444373,0.31837116767682,0.105914111784546,0.328235812121193
"60",537,43222.22,43440.09,0,0.44,4.9,4.9,11.14,-21.44,0.104666856094654,0.151665719526732,0.310667708520595,0.100667424378615,0.332999005503068
"61",542,43440.09,43657.95,0,0.36,3.44,3.44,9.56,-24.77,0.077339077944168,0.16264415256338,0.359155568832588,0.391514666649574,0.00839869984785341
"62",547,43657.95,43875.82,0,0.32,3.08,3.08,9.63,-24.63,0.0596996551104242,0,0.668,0,0.272300344889576
"63",552,43875.82,44093.68,0,0.54,5.99,5.99,11.09,-23.4,0.0619801362561198,0.153831014508495,0.415344496451954,0.368844352783431,0
